file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,conjugate_acid,conjugate_base,exp_pka (pKa)
11,0.03849,0.012718,-0.47159767,13.24,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-11.01,-2.83,CCCc1ccc(cc1)[OH:10],CCCc1ccc(cc1)[O-:10],10.34
12,0.04013,0.013391,-0.49029192,21.56,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,0.3333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-7.49,-2.83,C=CC[OH:4],C=CC[O-:4],15.52
13,0.00864,0.012411,-0.44912568,2.84,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.1667,1,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1667,0,0,0.1429,0,0,0.2,0.1667,0,0,0.5,0,0,0,0,0,1.03,-132.18,-2.07,COc1cc(nc(n1)NC(=O)[NH:20]S(=O)(=O)Cc2ccccc2C(=O)OC)OC,COc1cc(nc(n1)NC(=O)[N-:20]S(=O)(=O)Cc2ccccc2C(=O)OC)OC,5.2
14,0.03488,0.012572,-0.44462708,1.05,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.3333,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.3333,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,-6.78,-2.07,CC(C)N1C(=O)c2ccccc2[NH:11]S1(=O)=O,CC(C)N1C(=O)c2ccccc2[N-:11]S1(=O)=O,3.3
15,0.001,0.014929,-0.4619951,6.31,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.1667,0.3333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.0769,0,0,0,0,0,0,0,0,0,0.1111,0,0,0,0,0,0.0667,0,0,0.125,0,0,0,0.2,1,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0.0714,0.0714,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.1,0,0,0,0,0,1.03,-139.07,1.2,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCC[NH+:34]5CCOCC5,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCC[N:34]5CCOCC5,6.41
16,0.00354,0.014892,-0.45838284,5.93,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.1429,0,0,0.3333,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,87.23,1.2,CCC[N@@H+:18]1CCCC[C@H]1C(=O)Nc2c(cccc2C)C,CCC[N@@:18]1CCCC[C@H]1C(=O)Nc2c(cccc2C)C,8.07
17,0.00201,0.014906,-0.4607657,7.26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.25,0.125,0,0.3333,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1667,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0.1111,0.1429,0,0,0,0,0,0,0,0,0,0.5,0,0,1.03,-19.56,1.2,Cc1cc(ccc1OCC(=O)[O-])C[N@@H+:26](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,Cc1cc(ccc1OCC(=O)[O-])C[N@@:26](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,6.7
18,0.00256,0.012286,-0.44679153,2.01,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.1667,0.3333,0,0.0833,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0.1,0.0909,0,0,0,0,0,0,0,0.0769,0,0,0,0,0,0,0,0,0.0714,0,0,0,0.2,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0.1111,0,0,0.98,-29.96,-2.83,Cc1cc(ccc1OCC(=O)[OH:29])C[N@@H+](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,Cc1cc(ccc1OCC(=O)[O-:29])C[N@@H+](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,2.9
19,0.00392,0.015326,-0.4580542,5.19,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.1429,0,0,0.3333,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,59.45,1.2,CCCC[N@H+:19]1CCCC[C@@H]1C(=O)Nc2c(cccc2C)C,CCCC[N@:19]1CCCC[C@@H]1C(=O)Nc2c(cccc2C)C,8.16
20,0.00244,0.014826,-0.46758068,10.34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.1429,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,1,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,13.93,1.2,C[NH+:21](C)CCCN1c2ccccc2CCc3c1cccc3,C[N:21](C)CCCN1c2ccccc2CCc3c1cccc3,9.45
